timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653439473308,240,HTTP Request,200,OK,Thread Group 1-184,text,true,,11229,115,257,257,http://192.168.100.3/,239,0,90
1653439473394,154,HTTP Request,200,OK,Thread Group 1-205,text,true,,11229,115,257,257,http://192.168.100.3/,154,0,8
1653439473485,67,HTTP Request,200,OK,Thread Group 1-181,text,true,,11228,115,257,257,http://192.168.100.3/,53,0,0
1653439473483,69,HTTP Request,200,OK,Thread Group 1-165,text,true,,11228,115,257,257,http://192.168.100.3/,53,0,0
1653439473484,68,HTTP Request,200,OK,Thread Group 1-140,text,true,,11228,115,257,257,http://192.168.100.3/,53,0,0
1653439473482,71,HTTP Request,200,OK,Thread Group 1-200,text,true,,11228,115,257,257,http://192.168.100.3/,54,0,0
1653439473512,70,HTTP Request,200,OK,Thread Group 1-217,text,true,,11228,115,274,274,http://192.168.100.3/,68,0,0
1653439473510,73,HTTP Request,200,OK,Thread Group 1-215,text,true,,11228,115,275,275,http://192.168.100.3/,68,0,0
1653439473507,76,HTTP Request,200,OK,Thread Group 1-62,text,true,,11228,115,275,275,http://192.168.100.3/,63,0,0
1653439473507,77,HTTP Request,200,OK,Thread Group 1-93,text,true,,11228,115,275,275,http://192.168.100.3/,62,0,0
1653439473505,81,HTTP Request,200,OK,Thread Group 1-86,text,true,,11228,115,275,275,http://192.168.100.3/,62,0,0
1653439473505,83,HTTP Request,200,OK,Thread Group 1-6,text,true,,11228,115,276,276,http://192.168.100.3/,45,0,0
1653439473518,71,HTTP Request,200,OK,Thread Group 1-170,text,true,,11228,115,277,277,http://192.168.100.3/,30,0,0
1653439473481,108,HTTP Request,200,OK,Thread Group 1-242,text,true,,11229,115,277,277,http://192.168.100.3/,68,0,44
1653439473427,162,HTTP Request,200,OK,Thread Group 1-224,text,true,,11229,115,277,277,http://192.168.100.3/,120,0,74
1653439473482,108,HTTP Request,200,OK,Thread Group 1-54,text,true,,11228,115,277,277,http://192.168.100.3/,64,0,0
1653439473512,89,HTTP Request,200,OK,Thread Group 1-216,text,true,,11228,115,281,281,http://192.168.100.3/,69,0,0
